danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,160227
0.474,0.598,5,-5.023,1,0.0973,0.768,0,0.0841,0.917,184.484,131853
0.647,0.582,10,-9.538,0,0.0755,0.41,1.93E-06,0.0715,0.915,167.396,146480
0.688,0.7,7,-6.295,1,0.0757,0.73,0,0.727,0.876,119.117,142547
0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794,182400
0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,173947
0.646,0.813,8,-7.803,1,0.0419,0.52,0.00944,0.0625,0.967,141.691,151373
0.342,0.239,10,-15.682,1,0.0394,0.853,2.94E-05,0.0691,0.494,200.639,239813
0.611,0.359,7,-8.026,1,0.0253,0.79,0,0.391,0.568,106.274,132107
0.563,0.915,7,-5.062,1,0.08,0.247,8.46E-05,0.0613,0.71,136.345,142227
0.567,0.959,8,-3.822,1,0.102,0.0995,6.07E-05,0.1,0.961,137.377,133933
0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253
0.525,0.216,6,-13.551,1,0.0301,0.837,0,0.107,0.328,106.761,185413
0.652,0.583,9,-7.811,1,0.038,0.412,0,0.119,0.744,138.134,163600
0.579,0.419,0,-10.72,1,0.0346,0.625,0,0.0981,0.673,104.564,165000
0.398,0.249,1,-12.719,1,0.0414,0.906,5.71E-06,0.189,0.349,142.239,163360
0.483,0.721,0,-6.836,1,0.032,0.729,0,0.189,0.562,95.261,369600
0.589,0.889,7,-7.277,1,0.0415,0.505,2.15E-05,0.151,0.722,112.816,169093
0.444,0.896,0,-5.704,0,0.0523,0.00875,4.55E-05,0.294,0.804,94.991,201800
0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,146333
0.607,0.783,9,-8.391,1,0.0505,0.0409,0,0.0461,0.843,138.825,125968
0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480
0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.206,97.398,173867
0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,146973
0.746,0.56,5,-14.789,1,0.0565,0.494,0,0.316,0.853,124.68,184960
0.645,0.61,1,-8.572,0,0.0323,0.529,0.0355,0.137,0.496,118.599,271507
0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.89,269720
0.299,0.787,0,-7.93,0,0.069,0.14,0,0.292,0.716,94.798,198867
0.482,0.8,11,-9.278,0,0.0916,0.0569,0.00223,0.387,0.569,158.81,202267
0.392,0.629,5,-7.056,1,0.0335,0.718,3.76E-06,0.129,0.72,124.511,153205
0.162,0.867,0,-7.18,1,0.092,0.256,3.37E-05,0.682,0.499,174.851,505240
0.472,0.712,10,-9.301,1,0.0758,0.318,0,0.0824,0.693,192.915,167933
0.629,0.677,1,-7.239,1,0.0299,0.122,9.72E-06,0.0962,0.627,132.783,195000
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693
0.581,0.78,4,-7.053,1,0.0567,0.508,1.07E-05,0.0799,0.561,123.711,203680
0.255,0.372,4,-16.437,0,0.0424,0.291,0,0.269,0.392,82.417,297480
0.412,0.473,4,-10.964,1,0.037,0.383,8.41E-05,0.541,0.676,124.411,164907
0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640
0.441,0.212,4,-13.657,1,0.0287,0.556,5.52E-06,0.0578,0.124,65.311,202027
0.323,0.704,9,-11.585,1,0.0573,0.229,1.27E-06,0.228,0.804,183.673,146000
0.413,0.725,3,-5.787,0,0.0324,0.369,2.16E-05,0.0905,0.44,124.618,429760
0.462,0.629,4,-11.963,0,0.0294,0.149,0.000194,0.202,0.675,131.062,418387
0.421,0.751,9,-9.584,1,0.0472,0.2,0,0.17,0.789,89.839,145867
0.657,0.371,5,-9.186,1,0.0359,0.367,0.0459,0.157,0.709,134.867,171773
0.505,0.427,5,-13.217,0,0.0278,0.0897,0.000561,0.0802,0.477,105.816,175813
0.36,0.475,7,-9.891,1,0.0456,0.646,0.000273,0.123,0.36,121.355,192053
0.584,0.367,6,-9.638,0,0.0328,0.55,1.38E-05,0.0818,0.588,120.175,176293
0.507,0.851,4,-5.995,1,0.0386,0.0612,0.157,0.371,0.587,98.061,199187
0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,337413
0.637,0.189,7,-10.726,1,0.0471,0.721,0,0.0939,0.695,120.142,255002
0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,194216
0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,130173
0.254,0.349,10,-13.283,1,0.0302,0.791,0.326,0.0971,0.125,75.521,224200
0.383,0.391,5,-10.386,1,0.031,0.722,0,0.12,0.213,99.7,170840
0.684,0.481,2,-12.59,1,0.0384,0.475,6.57E-05,0.118,0.784,115.078,250000
0.62,0.398,2,-15.676,1,0.0303,0.556,6.91E-06,0.273,0.677,106.265,166600
0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,269107
0.468,0.527,5,-10.781,1,0.0407,0.314,0,0.234,0.749,94.852,257600
0.467,0.382,0,-13.807,1,0.0264,0.236,0.125,0.187,0.704,81.754,350467
0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,212893
0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373
0.66,0.512,0,-7.183,1,0.0294,0.313,0,0.283,0.852,133.607,177533
0.683,0.473,5,-14.698,0,0.0307,0.368,2.04E-05,0.313,0.966,103.849,129240
0.784,0.433,1,-9.1,1,0.0376,0.299,0.00016,0.0248,0.917,113.491,153298
0.497,0.59,2,-11.203,0,0.0296,0.139,7.11E-06,0.378,0.969,142.027,137480
0.16,0.615,0,-8.897,1,0.0358,0.689,0.861,0.153,0.302,77.393,336728
0.55,0.576,0,-13.475,1,0.0306,0.178,0.00935,0.0555,0.486,109.837,303200
0.57,0.635,10,-10.231,1,0.0482,0.00459,0.176,0.0901,0.196,108.431,266840
0.597,0.554,11,-14.144,0,0.0425,0.029,0,0.0766,0.963,117.835,133200
0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253,240800
0.518,0.385,4,-14.636,1,0.0339,0.23,0.000226,0.124,0.712,86.604,265547
0.166,0.831,9,-8.469,1,0.0894,0.000606,0.846,0.811,0.281,167.518,269787
0.658,0.675,9,-10.967,1,0.242,0.604,0,0.0428,0.587,115.574,377760
0.322,0.601,4,-10.699,0,0.0357,0.638,0.593,0.0813,0.664,97.654,316893
0.513,0.826,8,-8.407,0,0.0574,0.555,3.48E-05,0.366,0.539,94.582,177227
0.63,0.292,9,-13.263,1,0.0389,0.243,7.37E-05,0.484,0.765,99.348,229197
0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,238267
0.523,0.941,4,-4.444,0,0.0377,0.0878,0.148,0.106,0.145,120.67,192324
0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467
0.545,0.669,1,-6.239,0,0.0456,0.314,0,0.0553,0.886,102.041,177733
0.637,0.107,5,-18.759,1,0.0349,0.911,0.00146,0.103,0.296,82.879,339533
0.656,0.601,9,-7.734,1,0.0389,0.0553,0.0667,0.0974,0.576,117.296,315200
0.566,0.765,10,-7.551,0,0.0323,0.18,0.0133,0.136,0.969,75.008,161853
0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61E-05,0.0818,0.753,93.584,166267
0.529,0.452,2,-12.593,1,0.136,0.534,0.000151,0.301,0.539,78.196,282721
0.271,0.553,2,-9.526,1,0.0472,0.044,0.0096,0.0999,0.433,86.762,386373
0.404,0.43,4,-12.327,1,0.224,0.538,0,0.0802,0.641,180.061,148053
0.61,0.864,9,-3.77,1,0.0514,0.0207,0,0.0569,0.875,130.577,145311
0.642,0.788,7,-6.388,1,0.0293,0.0192,0.00259,0.105,0.742,104.643,179960
0.543,0.715,2,-8.89,1,0.0356,0.0192,0,0.256,0.468,124.011,180943
0.451,0.364,9,-13.126,1,0.0436,0.469,0,0.197,0.298,154.206,444053
0.425,0.903,1,-4.801,1,0.0732,0.405,0.0128,0.117,0.769,108.748,190253
0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,188560
0.508,0.493,0,-8.786,1,0.0327,0.453,0,0.241,0.467,127.671,213267
0.72,0.716,9,-8.773,1,0.0723,0.226,0.00335,0.0932,0.953,144.376,274893
0.396,0.338,0,-10.872,1,0.0304,0.198,2.62E-06,0.138,0.377,133.522,182293
0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893
0.403,0.709,9,-9.366,1,0.0885,0.0746,0.494,0.132,0.654,97.161,254133
0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,263333
0.588,0.656,9,-7.563,1,0.0297,0.195,0,0.153,0.866,148.691,177267
0.31,0.423,0,-12.902,1,0.0324,0.0169,1.35E-05,0.365,0.457,136.205,316333
0.32,0.62,0,-9.686,1,0.0594,0.64,6.36E-05,0.253,0.472,86.327,448720
0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,270773
0.664,0.743,4,-9.364,1,0.0326,0.117,2.90E-05,0.192,0.824,113.071,199933
0.671,0.405,0,-10.052,1,0.0392,0.385,0,0.132,0.828,99.678,265067
0.789,0.683,8,-8.835,1,0.086,0.48,0,0.35,0.882,92.311,233613
0.587,0.413,4,-11.317,0,0.059,0.661,0.0853,0.269,0.548,107.431,324560
0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14E-06,0.544,0.742,132.526,283000
0.475,0.561,7,-12.548,1,0.0404,0.255,0.33,0.125,0.51,125.034,222000
0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573
0.652,0.94,2,-7.927,1,0.0776,0.0398,0.782,0.0567,0.72,91.242,246293
0.399,0.467,5,-11.763,1,0.0284,0.303,0.0186,0.124,0.525,75.601,445187
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250
0.629,0.356,4,-11.135,1,0.0246,0.66,0.000617,0.173,0.472,83.886,192200
0.606,0.282,9,-12.207,0,0.0339,0.501,8.30E-06,0.152,0.563,67.409,274040
0.612,0.634,9,-8.212,1,0.0319,0.337,4.60E-05,0.147,0.904,121.059,243827
0.625,0.428,9,-7.813,0,0.0294,0.38,7.87E-06,0.27,0.584,133.166,275293
0.611,0.47,4,-9.135,1,0.0356,0.579,0,0.581,0.97,85.527,134800
0.463,0.495,1,-12.203,1,0.041,0.059,1.25E-06,0.271,0.532,118.505,265933
0.605,0.404,4,-12.366,1,0.0256,0.588,0.00143,0.104,0.867,94.285,153413
0.712,0.0862,9,-17.696,1,0.0325,0.814,0.000259,0.191,0.315,90.666,115293
0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,243027
0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,218187
0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,330643
0.432,0.595,11,-8.99,1,0.0317,0.102,8.58E-05,0.248,0.416,77.033,271106
0.43,0.682,2,-10.267,1,0.0314,0.0534,0.00329,0.142,0.693,122.304,302493
0.723,0.672,7,-7.875,1,0.0356,0.243,0.00373,0.299,0.958,128.079,240573
0.395,0.535,7,-9.562,1,0.033,0.214,0.0167,0.196,0.679,189.139,180067
0.336,0.792,9,-10.875,1,0.0848,0.00349,0.00178,0.0437,0.425,155.588,355304
0.415,0.658,4,-12.051,0,0.0696,4.52E-05,0.000735,0.176,0.45,163.015,168406
0.429,0.631,4,-11.514,0,0.0769,7.85E-05,0.00411,0.175,0.376,162.734,168440
0.574,0.926,11,-10.79,1,0.0562,0.00031,0.478,0.386,0.609,113.097,145067
0.431,0.651,0,-10.161,1,0.0374,0.093,0.0346,0.168,0.544,122.227,382933
0.404,0.695,2,-6.162,1,0.034,0.587,0.0383,0.159,0.646,133.135,301720
0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,423840
0.731,0.555,2,-13.684,1,0.0519,0.321,0.000103,0.0527,0.935,131.26,189427
0.346,0.379,7,-15.662,1,0.0304,0.0914,0.0566,0.0486,0.478,154.01,275920
0.656,0.65,0,-11.643,1,0.0575,0.634,0.0148,0.161,0.931,146.268,157040
0.513,0.569,9,-8.278,1,0.029,0.468,0.00134,0.111,0.441,122.676,226867
0.468,0.839,9,-7.39,1,0.0365,0.459,0.461,0.151,0.935,151.842,242027
0.24,0.877,11,-6.401,1,0.0505,0.034,0,0.127,0.875,180.03,168053
0.603,0.758,7,-6.896,1,0.0327,0.215,0.014,0.081,0.834,116.131,210720
0.537,0.701,1,-8.913,0,0.0335,0.0972,0,0.0832,0.583,120.92,281227
0.469,0.833,4,-5.804,1,0.0314,0.00566,0.000419,0.314,0.886,131.185,264413
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109,160133
0.64,0.269,4,-13.435,0,0.0388,0.231,0.00276,0.116,0.178,112.801,252773
0.613,0.0609,2,-21.297,1,0.0391,0.887,0.0197,0.0525,0.156,80.988,202147
0.532,0.347,0,-13.696,1,0.05,0.013,0.133,0.0578,0.426,135.935,336307
0.576,0.672,7,-11.526,1,0.48,0.0217,0.0451,0.127,0.507,181.116,218000
0.403,0.603,8,-10.523,1,0.0392,0.239,0.0389,0.127,0.657,150.017,377520
0.547,0.852,7,-9.619,1,0.0403,0.0676,0,0.0688,0.732,143.745,359733
0.66,0.574,7,-14.813,1,0.0334,0.00125,0.631,0.106,0.868,101.549,144289
0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,516893
0.618,0.413,4,-14.164,0,0.0302,0.249,0.0517,0.131,0.531,97.84,180760
0.544,0.635,1,-15.718,0,0.0566,0.205,0.000166,0.113,0.522,100.725,290800
0.7,0.299,2,-15.579,1,0.0651,0.339,0.0012,0.195,0.614,84.796,298840
0.527,0.512,2,-16.942,1,0.115,0.117,0.00117,0.0938,0.377,93.254,305560
0.453,0.213,4,-13.656,1,0.0279,0.554,3.68E-06,0.0506,0.0955,64.177,203000
0.708,0.498,0,-10.337,1,0.0529,0.187,0.0115,0.0724,0.919,132.999,223827
0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,258133
0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,266013
0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,396187
0.549,0.722,11,-11.729,0,0.0283,0.25,0.0138,0.11,0.716,103.885,434720
0.432,0.389,7,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506,341773
0.638,0.931,0,-3.605,1,0.0363,0.228,0.000295,0.0524,0.965,128.662,228667
0.545,0.757,0,-5.228,1,0.0396,0.408,0.045,0.16,0.714,152.217,436000
0.479,0.416,4,-11.451,0,0.124,0.457,1.72E-05,0.118,0.514,79.593,125093
0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,91.786,295147
0.301,0.408,10,-14.286,1,0.0293,0.628,0.025,0.366,0.439,81.016,270133
0.467,0.669,2,-9.399,1,0.0559,0.137,0.00933,0.835,0.673,126.917,284480
0.399,0.683,0,-13.233,1,0.0357,0.000384,0.00119,0.124,0.466,95.254,326001
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400
0.412,0.523,2,-10.714,1,0.0335,0.115,7.34E-06,0.314,0.294,128.592,222467
0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919,513000
0.529,0.104,9,-19.669,1,0.0392,0.985,0.291,0.109,0.183,135.235,168107
0.545,0.608,0,-9.372,1,0.0369,0.193,0.0699,0.0769,0.681,165.617,232627
0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,257787
0.544,0.352,7,-14.425,1,0.048,0.885,0.0625,0.198,0.206,74.163,226280
0.729,0.818,2,-9.992,1,0.0732,0.157,0.285,0.195,0.907,125.811,267000
0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200
0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093
0.432,0.848,4,-8.095,0,0.0878,0.274,0.0344,0.233,0.743,81.201,294000
