danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Mood Label
0.83,0.251,4,-19.774,1,0.0779,0.98,0.893,0.195,0.164,110.002,184364,ambient
0.227,0.00268,3,-27.348,1,0.06,0.951,0.912,0.109,0.228,64.26,146000,ambient
0.159,0.071,6,-27.109,0,0.0409,0.911,0.856,0.107,0.0602,146.977,464293,ambient
0.15,0.208,10,-16.901,1,0.0409,0.936,0.755,0.218,0.0759,85.706,322499,ambient
0.804,0.325,2,-13.067,1,0.0469,0.601,0.588,0.601,0.395,120.002,240250,ambient
0.267,0.0468,1,-26.101,1,0.0389,0.973,0.224,0.103,0.0726,103.027,87341,ambient
0.477,0.348,2,-14.586,1,0.0335,0.931,0.949,0.11,0.0867,117.94,208589,ambient
0.403,0.16,6,-22.779,1,0.0369,0.959,0.941,0.0911,0.16,72.571,204845,ambient
0.169,0.44,0,-10.385,1,0.0277,0.149,0.169,0.126,0.113,95.896,495859,ambient
0.422,0.204,1,-19.198,1,0.0483,0.891,0.956,0.107,0.354,111.584,80427,ambient
0.204,0.00635,9,-34.261,1,0.0447,0.978,0.914,0.108,0.0366,67.868,144321,ambient
0.304,0.472,9,-15.884,0,0.0878,0.786,0.931,0.114,0.0641,92.218,256534,ambient
0.26,0.01,4,-32.894,0,0.0359,0.98,0.843,0.131,0.0349,101.39,321880,ambient
0.655,0.403,6,-12.927,0,0.0392,0.958,0.946,0.14,0.276,144.02,225208,ambient
0.152,0.00559,8,-32.174,0,0.0426,0.956,0.906,0.112,0.0772,195.603,396689,ambient
0.356,0.401,11,-14.475,0,0.0467,0.434,0.789,0.176,0.0397,142.945,234320,ambient
0.0748,0.523,4,-8.069,1,0.0354,0.782,0.866,0.0886,0.0383,74.195,255336,ambient
0.271,0.0744,7,-26.455,0,0.0422,0.968,0.937,0.0574,0.0358,114.437,248000,ambient
0.47,0.454,2,-14.921,1,0.0289,0.44,0.424,0.244,0.738,151.519,218600,ambient
0.189,0.0753,2,-23.335,1,0.0328,0.965,0.784,0.101,0.0372,177.539,273118,ambient
0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,208040,ambient
0.108,0.0419,9,-26.441,0,0.0418,0.971,0.909,0.052,0.0429,69.511,255333,ambient
0.397,0.0849,10,-21.622,0,0.0426,0.97,0.947,0.11,0.0858,105.903,188250,ambient
0.652,0.31,2,-13.865,0,0.0324,0.526,0.686,0.115,0.294,131.973,283107,ambient
0.114,0.258,0,-14.626,0,0.0345,0.807,0.803,0.18,0.0733,89.151,530894,ambient
0.186,0.00851,9,-38.264,0,0.034,0.995,0.946,0.287,0.0879,70.503,135400,ambient
0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,139.131,278693,ambient
0.504,0.271,5,-19.877,1,0.045,0.846,0.815,0.0872,0.0564,125.942,351948,ambient
0.417,0.0489,0,-27.759,1,0.0706,0.964,0.914,0.116,0.284,144.34,232743,ambient
0.193,0.346,7,-16.917,0,0.0401,0.927,0.953,0.3,0.0625,120.798,216000,ambient
0.323,0.18,8,-23.298,1,0.0284,0.957,0.239,0.185,0.772,182.158,348132,ambient
0.542,0.521,4,-12.566,0,0.104,0.884,0.914,0.124,0.176,194.049,376082,ambient
0.427,0.136,8,-16.962,0,0.0336,0.953,0.653,0.0765,0.185,138.105,325490,ambient
0.181,0.161,11,-27.538,1,0.0348,0.931,0.947,0.134,0.24,93.444,286986,ambient
0.43,0.389,6,-14.204,0,0.0547,0.821,0.94,0.358,0.0519,118.526,347981,ambient
0.521,0.28,1,-16.645,1,0.0362,0.946,0.943,0.112,0.307,141.96,352357,ambient
0.196,0.014,0,-20.872,0,0.0349,0.986,0.93,0.112,0.0645,137.347,143080,ambient
0.144,0.275,4,-15.408,0,0.036,0.798,0.363,0.0965,0.039,77.303,292467,ambient
0.485,0.178,0,-16.469,0,0.271,0.939,0.584,0.0511,0.694,186.019,311907,ambient
0.172,0.124,8,-21.048,1,0.0333,0.958,0.97,0.283,0.0394,123.85,1052000,ambient
0.283,0.0887,6,-26.035,0,0.0297,0.993,0.939,0.133,0.144,71.69,238004,ambient
0.124,0.0845,7,-18.24,1,0.036,0.982,0.964,0.288,0.0322,97.347,286067,ambient
0.601,0.165,0,-19.596,1,0.032,0.883,0.903,0.112,0.466,92.02,448353,ambient
0.202,0.232,2,-19.154,0,0.0336,0.888,0.902,0.0903,0.046,88.348,232073,ambient
0.209,0.417,2,-7.428,0,0.042,0.9,0.786,0.128,0.0773,72.437,191747,ambient
0.436,0.188,9,-15.593,0,0.0338,0.381,0.876,0.122,0.144,140.033,135251,ambient
0.754,0.301,5,-13.405,0,0.0511,0.474,0.877,0.112,0.147,134,483594,ambient
0.455,0.386,9,-20.548,1,0.0315,0.825,0.271,0.322,0.196,99.553,586440,ambient
0.212,0.00393,2,-28.139,0,0.0741,0.993,0.688,0.112,0.0362,68.033,171107,ambient
0.212,0.12,4,-23.83,0,0.039,0.993,0.905,0.108,0.287,167.717,170000,ambient
0.463,0.624,10,-13.167,1,0.0485,0.0151,0.962,0.134,0.178,70.48,88013,enigmatic
0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,275556,enigmatic
0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,207427,enigmatic
0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,126960,enigmatic
0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733,enigmatic
0.339,0.219,9,-18.595,1,0.0336,0.578,0.101,0.104,0.0387,138.091,254293,enigmatic
0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,123360,enigmatic
0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,175040,enigmatic
0.128,0.0234,0,-32.13,1,0.0375,0.535,0.189,0.135,0.0365,97.173,529947,enigmatic
0.201,0.475,11,-10.097,0,0.0417,0.659,0.916,0.0748,0.0398,73.563,158333,enigmatic
0.3,0.289,10,-17.109,1,0.0557,0.688,0.683,0.0772,0.0492,129.673,394440,enigmatic
0.402,0.046,5,-22.779,1,0.033,0.979,0.513,0.0771,0.0967,104.425,159667,enigmatic
0.236,0.329,1,-15.496,1,0.0369,0.404,0.0819,0.31,0.0905,109.968,197333,enigmatic
0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,309093,enigmatic
0.168,0.0393,5,-24.569,1,0.0395,0.86,0.942,0.131,0.0387,112.426,172520,enigmatic
0.422,0.351,0,-13.002,1,0.0352,0.73,0.904,0.0784,0.168,132.317,305640,enigmatic
0.471,0.411,2,-15.755,1,0.041,0.733,0.853,0.28,0.282,79.986,254347,enigmatic
0.12,0.107,0,-19.115,0,0.0399,0.974,0.879,0.0778,0.109,82.727,185467,enigmatic
0.169,0.222,7,-15.954,0,0.0356,0.528,0.964,0.107,0.0397,110.877,247400,enigmatic
0.179,0.048,6,-28.663,1,0.0469,0.889,0.974,0.0775,0.0278,72.93,148813,enigmatic
0.209,0.152,10,-16.519,0,0.0324,0.5,0.903,0.103,0.0482,80.136,407533,enigmatic
0.0876,0.0504,4,-29.69,0,0.0387,0.755,0.95,0.112,0.0912,170.05,181867,enigmatic
0.259,0.583,2,-9.489,1,0.0418,0.0249,0.978,0.328,0.24,111.153,156307,enigmatic
0.177,0.295,5,-14.581,1,0.061,0.39,0.591,0.0684,0.0825,83.409,346933,enigmatic
0.15,0.278,2,-16.605,0,0.039,0.694,0.959,0.107,0.0367,83.532,241560,enigmatic
0.318,0.308,5,-13.676,0,0.0285,0.438,0.889,0.109,0.0592,103.925,157027,enigmatic
0.131,0.137,2,-20.553,1,0.0387,0.934,0.485,0.087,0.0465,78.577,440800,enigmatic
0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,105560,enigmatic
0.077,0.339,5,-17.84,1,0.0476,0.698,0.688,0.114,0.0581,81.021,53307,enigmatic
0.38,0.246,7,-13.955,0,0.0329,0.872,0.905,0.084,0.0573,133.805,234400,enigmatic
0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,286467,enigmatic
0.147,0.0457,0,-19.188,1,0.042,0.96,0.927,0.106,0.0364,138.942,349920,enigmatic
0.195,0.0111,7,-31.641,0,0.0337,0.845,0.000881,0.112,0.3,83.735,103025,enigmatic
0.171,0.505,7,-10.525,1,0.0521,0.431,0.962,0.262,0.0796,92.613,197213,enigmatic
0.299,0.571,5,-8.949,0,0.0395,0.318,0.137,0.0452,0.764,89.642,51800,enigmatic
0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,255693,enigmatic
0.103,0.384,0,-16.401,0,0.0556,0.549,0.897,0.111,0.0747,79.262,326773,enigmatic
0.577,0.379,7,-13.82,0,0.0368,0.753,0.955,0.126,0.284,103.112,179573,enigmatic
0.099,0.0567,1,-20.712,1,0.0398,0.96,0.81,0.104,0.0456,82.744,170400,enigmatic
0.187,0.0602,9,-25.767,0,0.0464,0.408,0.922,0.122,0.0362,68.751,247333,enigmatic
0.079,0.149,7,-20.372,0,0.0486,0.102,0.915,0.111,0.111,81.277,112973,enigmatic
0.167,0.0721,8,-19.221,0,0.0339,0.856,0.265,0.0758,0.0388,86.116,128280,enigmatic
0.143,0.369,0,-14.263,1,0.0425,0.772,0.9,0.0696,0.396,75.465,296173,enigmatic
0.262,0.224,9,-20.231,0,0.0463,0.0545,0.95,0.118,0.0388,119.715,246272,enigmatic
0.745,0.607,7,-10.327,1,0.0631,0.201,0.861,0.0593,0.466,142.012,145080,enigmatic
0.329,0.301,7,-14.762,0,0.0413,0.929,0.88,0.11,0.0465,63.519,122253,enigmatic
0.224,0.15,0,-15.541,1,0.0361,0.0297,0.806,0.161,0.0563,126.88,148107,enigmatic
0.237,0.062,9,-22.176,0,0.0513,0.417,0.893,0.178,0.0357,114.738,142253,enigmatic
0.18,0.0382,2,-22.028,0,0.0452,0.983,0.0141,0.15,0.0593,69.897,187467,enigmatic
0.151,0.103,9,-22.221,1,0.0412,0.918,0.852,0.0756,0.036,97.5,235667,enigmatic
0.129,0.0263,4,-30.184,1,0.0415,0.82,0.956,0.0959,0.039,52.193,370667,enigmatic
0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,213893,enigmatic
0.159,0.123,4,-26.301,0,0.0652,0.864,0.762,0.104,0.0498,131.552,161466,enigmatic
0.218,0.19,7,-20.281,1,0.0355,0.772,0.749,0.133,0.0695,78.962,222773,enigmatic
0.432,0.219,3,-15.037,1,0.039,0.757,0.789,0.0822,0.0928,138.003,337471,enigmatic
0.227,0.264,0,-14.905,1,0.0325,0.881,0.9,0.114,0.228,84.986,321067,enigmatic
0.534,0.487,10,-11.201,1,0.0302,0.74,0.885,0.109,0.237,112.989,200227,enigmatic
0.381,0.582,2,-11.52,1,0.0406,0.0328,0.94,0.0843,0.0697,133.991,143453,enigmatic
0.165,0.395,0,-18.042,1,0.0439,0.0949,0.925,0.112,0.105,131.638,222453,enigmatic
0.0717,0.0154,7,-30.218,0,0.0419,0.905,0.937,0.0928,0.0356,78.822,339587,enigmatic
0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,98040,enigmatic
0.149,0.117,2,-20.966,1,0.0442,0.905,0.919,0.111,0.0882,95.68,91493,enigmatic
0.249,0.228,0,-15.678,1,0.0388,0.13,0.846,0.276,0.139,102.592,169067,enigmatic
